Year;Economy;Economy Label;Flow;Flow Label;Direction;Direction Label;US$ at current prices in millions;US$ at current prices in millions Footnote;US$ at current prices in millions Missing value;US$ at current prices per capita;US$ at current prices per capita Footnote;US$ at current prices per capita Missing value;Percentage of total world;Percentage of total world Footnote;Percentage of total world Missing value;Percentage of Gross Domestic Product;Percentage of Gross Domestic Product Footnote;Percentage of Gross Domestic Product Missing value;Percentage of Gross Fixed Capital Formation;Percentage of Gross Fixed Capital Formation Footnote;Percentage of Gross Fixed Capital Formation Missing value
1990;12;Algeria;9;Stock;1;Inward;1561;;;61;;;0;;;3;;;10;;
1990;12;Algeria;9;Stock;2;Outward;183;;;7;;;0;;;0;;;1;;
1990;24;Angola;8;Flow;1;Inward;-335;;;-29;;;0;;;-2;;;-22;;
1990;24;Angola;8;Flow;2;Outward;1;;;0;;;0;;;0;;;0;;
1990;24;Angola;9;Stock;1;Inward;1025;;;88;;;0;;;7;;;68;;
1990;24;Angola;9;Stock;2;Outward;1;;;0;;;0;;;0;;;0;;
1990;660;Anguilla;8;Flow;1;Inward;11;;;1288;;;0;;;14;;;37;;
1990;28;Antigua and Barbuda;8;Flow;1;Inward;59;;;932;;;0;;;13;;;48;;
1990;32;Argentina;8;Flow;1;Inward;1836;;;56;;;1;;;1;;;10;;
1990;32;Argentina;8;Flow;2;Outward;35;;;1;;;0;;;0;;;0;;
1990;32;Argentina;9;Stock;1;Inward;9085;;;277;;;0;;;6;;;51;;
1990;32;Argentina;9;Stock;2;Outward;6057;;;185;;;0;;;4;;;34;;
1990;51;Armenia;8;Flow;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;51;Armenia;8;Flow;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;51;Armenia;9;Stock;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;51;Armenia;9;Stock;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;533;Aruba;8;Flow;1;Inward;131;;;2025;;;0;;;15;;;52;;
1990;533;Aruba;8;Flow;2;Outward;487;;;7557;;;0;;;57;;;195;;
1990;533;Aruba;9;Stock;1;Inward;145;;;2253;;;0;;;17;;;58;;
1990;36;Australia;8;Flow;1;Inward;7904;;;462;;;4;;;2;;;10;;
1990;36;Australia;8;Flow;2;Outward;194;;;11;;;0;;;0;;;0;;
1990;36;Australia;9;Stock;1;Inward;80364;;;4692;;;4;;;25;;;101;;
1990;36;Australia;9;Stock;2;Outward;37505;;;2190;;;2;;;12;;;47;;
1990;40;Austria;8;Flow;1;Inward;653;;;85;;;0;;;0;;;2;;
1990;40;Austria;8;Flow;2;Outward;1701;;;221;;;1;;;1;;;4;;
1990;40;Austria;9;Stock;1;Inward;11606;;;1511;;;1;;;7;;;27;;
1990;40;Austria;9;Stock;2;Outward;5021;;;654;;;0;;;3;;;12;;
1990;31;Azerbaijan;8;Flow;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
